id,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout
146,ADANIPOWER,Mar 2013,6692,5732,960.0,14.0,215,1703,1290,-1818,26.0,-2295,-10.0,0.0
147,ADANIPOWER,Mar 2014,15328,10735,4593.0,30.0,137,4162,1937,-1370,-79.0,-291,-1.0,0.0
148,ADANIPOWER,Mar 2015,18683,14005,4678.0,25.0,1188,4864,1818,-816,0.0,-816,-3.0,0.0
149,ADANIPOWER,Mar 2016,25377,16575,8802.0,35.0,-201,5560,2666,375,-47.0,551,2.0,0.0
150,ADANIPOWER,Mar 2017,22616,16635,5980.0,26.0,-3666,5902,2672,-6260,-1.0,-6174,-16.0,0.0
151,ADANIPOWER,Mar 2018,20304,14868,5436.0,27.0,754,5570,2699,-2079,0.0,-2103,-5.0,0.0
152,ADANIPOWER,Mar 2019,23884,18901,4983.0,21.0,2448,5657,2751,-976,1.0,-984,-3.0,0.0
153,ADANIPOWER,Mar 2020,26468,20734,5734.0,22.0,323,5315,3006,-2265,0.0,-2275,-6.0,0.0
154,ADANIPOWER,Mar 2021,26221,17533,8688.0,33.0,1909,5106,3202,2289,45.0,1270,3.0,0.0
155,ADANIPOWER,Mar 2022,27711,17830,9881.0,36.0,3908,4095,3118,6577,25.0,4912,13.0,0.0
156,ADANIPOWER,Mar 2023,38773,28677,10096.0,26.0,4216,3334,3304,7675,-40.0,10727,28.0,0.0
157,ADANIPOWER,Mar 2024,50351,32124,18228.0,36.0,9883,3388,3931,20792,0.0,20829,54.0,0.0
158,ADANIPOWER,TTM,54650,33685,20965.0,38.0,2124,3235,4046,15808,,12686,33.0,
159,AMBUJACEM,Dec 2012,9749,7276,2473.0,25.0,69,78,569,1896,32.0,1292,8.0,43.0
160,AMBUJACEM,Dec 2013,9161,7492,1669.0,18.0,390,67,494,1498,15.0,1278,8.0,44.0
161,AMBUJACEM,Dec 2014,9955,8022,1934.0,19.0,419,66,513,1774,16.0,1487,10.0,46.0
162,AMBUJACEM,Dec 2015,9437,7895,1542.0,16.0,353,92,630,1173,31.0,808,5.0,54.0
163,AMBUJACEM,Dec 2016,20094,16913,3181.0,16.0,441,153,1461,2008,29.0,1434,6.0,50.0
164,AMBUJACEM,Dec 2017,23609,19751,3858.0,16.0,335,206,1219,2768,30.0,1945,8.0,47.0
165,AMBUJACEM,Dec 2018,26041,22030,4011.0,15.0,232,170,1154,2919,-2.0,2973,11.0,14.0
166,AMBUJACEM,Dec 2019,27104,22507,4597.0,17.0,601,170,1153,3875,28.0,2783,11.0,14.0
167,AMBUJACEM,Dec 2020,24516,19511,5006.0,20.0,288,140,1162,3992,22.0,3107,12.0,151.0
168,AMBUJACEM,Dec 2021,28965,22755,6210.0,21.0,252,146,1152,5164,28.0,3711,14.0,45.0
169,AMBUJACEM,Mar 2023 15,38937,33815,5122.0,13.0,447,195,1645,3729,19.0,3024,13.0,19.0
170,AMBUJACEM,Mar 2024,33160,26760,6400.0,19.0,1401,276,1623,5901,20.0,4738,16.0,12.0
171,AMBUJACEM,TTM,32850,27028,5822.0,18.0,1230,298,1899,4856,,3871,13.0,
172,APOLLOHOSP,Mar 2013,3769,3157,612.0,16.0,33,103,142,399,26.0,303,22.0,25.0
173,APOLLOHOSP,Mar 2014,4357,3681,676.0,16.0,18,119,168,407,25.0,315,23.0,25.0
174,APOLLOHOSP,Mar 2015,5129,4392,737.0,14.0,47,118,212,455,29.0,335,24.0,24.0
175,APOLLOHOSP,Mar 2016,6150,5465,684.0,11.0,92,180,264,332,29.0,235,17.0,35.0
176,APOLLOHOSP,Mar 2017,7256,6522,734.0,10.0,60,257,314,222,41.0,131,16.0,38.0
177,APOLLOHOSP,Mar 2018,8243,7442,801.0,10.0,24,295,359,171,65.0,60,8.0,59.0
178,APOLLOHOSP,Mar 2019,9617,8548,1070.0,11.0,26,327,396,373,47.0,200,17.0,35.0
179,APOLLOHOSP,Mar 2020,11247,9656,1591.0,14.0,222,533,620,660,34.0,432,33.0,18.0
180,APOLLOHOSP,Mar 2021,10560,9420,1140.0,11.0,103,449,573,221,38.0,137,10.0,29.0
181,APOLLOHOSP,Mar 2022,14663,12474,2189.0,15.0,368,379,601,1578,30.0,1108,73.0,16.0
182,APOLLOHOSP,Mar 2023,16612,14548,2065.0,12.0,75,381,615,1144,22.0,844,57.0,26.0
183,APOLLOHOSP,Mar 2024,19059,16665,2394.0,13.0,105,449,687,1362,33.0,935,63.0,26.0
184,APOLLOHOSP,TTM,20469,17725,2745.0,13.0,158,466,719,1719,,1224,82.0,
185,ASIANPAINT,Mar 2013,10504,8767,1737.0,17.0,114,42,155,1655,30.0,1160,12.0,40.0
186,ASIANPAINT,Mar 2014,12220,10217,2004.0,16.0,124,48,246,1834,31.0,1263,13.0,42.0
187,ASIANPAINT,Mar 2015,13615,11372,2243.0,16.0,142,42,266,2077,31.0,1427,15.0,42.0
188,ASIANPAINT,Mar 2016,14271,11546,2725.0,19.0,213,49,276,2614,32.0,1803,18.0,41.0
189,ASIANPAINT,Mar 2017,15062,12068,2994.0,20.0,338,37,335,2960,32.0,2016,20.0,51.0
190,ASIANPAINT,Mar 2018,16825,13621,3204.0,19.0,336,41,360,3138,33.0,2098,21.0,41.0
191,ASIANPAINT,Mar 2019,19240,15475,3765.0,20.0,274,110,622,3306,33.0,2208,22.0,47.0
192,ASIANPAINT,Mar 2020,20211,16054,4157.0,21.0,355,102,780,3629,24.0,2774,28.0,43.0
193,ASIANPAINT,Mar 2021,21713,16857,4856.0,22.0,332,92,791,4304,26.0,3207,33.0,55.0
194,ASIANPAINT,Mar 2022,29101,24298,4804.0,17.0,296,95,816,4188,26.0,3085,32.0,61.0
195,ASIANPAINT,Mar 2023,34489,28229,6260.0,18.0,431,144,858,5689,26.0,4195,43.0,60.0
196,ASIANPAINT,Mar 2024,35495,27910,7585.0,21.0,821,205,853,7348,24.0,5558,57.0,58.0
197,ASIANPAINT,TTM,34831,28150,6681.0,19.0,616,227,916,6155,,4631,48.0,
198,ATGL,Mar 2018,1374,1008,366.0,27.0,80,125,61,259,36.0,162,6.0,0.0
199,ATGL,Mar 2019,1719,1264,455.0,26.0,59,90,67,357,36.0,229,2.0,12.0
200,ATGL,Mar 2020,1875,1280,595.0,32.0,44,41,51,547,20.0,436,4.0,6.0
201,ATGL,Mar 2021,1696,991,704.0,42.0,30,40,63,631,25.0,463,4.0,6.0
202,ATGL,Mar 2022,3038,2265,773.0,25.0,46,53,83,684,26.0,509,5.0,5.0
203,ATGL,Mar 2023,4378,3508,870.0,20.0,54,78,113,733,25.0,546,5.0,5.0
204,ATGL,Mar 2024,4475,3371,1104.0,25.0,62,111,158,896,26.0,668,6.0,4.0
205,ATGL,TTM,4826,3672,1153.0,24.0,52,106,199,900,,668,6.0,
206,BAJAJ-AUTO,Mar 2013,20025,16370,3656.0,18.0,790,1,168,4277,29.0,3133,108.0,42.0
207,BAJAJ-AUTO,Mar 2014,20137,15974,4163.0,21.0,674,1,181,4655,31.0,3380,117.0,43.0
208,BAJAJ-AUTO,Mar 2015,21595,17467,4128.0,19.0,228,6,267,4083,31.0,3026,105.0,48.0
209,BAJAJ-AUTO,Mar 2016,22574,17781,4793.0,21.0,1194,1,307,5679,28.0,4061,140.0,39.0
210,BAJAJ-AUTO,Mar 2017,21755,17326,4429.0,20.0,1468,1,307,5588,27.0,4079,141.0,39.0
211,BAJAJ-AUTO,Mar 2018,25210,20364,4846.0,19.0,1404,1,315,5933,29.0,4219,146.0,41.0
212,BAJAJ-AUTO,Mar 2019,30358,25160,5198.0,17.0,2028,4,266,6956,29.0,4928,170.0,35.0
213,BAJAJ-AUTO,Mar 2020,29919,24809,5109.0,17.0,1832,3,246,6692,22.0,5212,180.0,67.0
214,BAJAJ-AUTO,Mar 2021,27741,22803,4938.0,18.0,1570,7,259,6241,22.0,4857,168.0,83.0
215,BAJAJ-AUTO,Mar 2022,33145,27886,5259.0,16.0,2671,9,270,7652,19.0,6166,213.0,66.0
216,BAJAJ-AUTO,Mar 2023,36455,29991,6465.0,18.0,1703,40,286,7842,23.0,6060,214.0,65.0
217,BAJAJ-AUTO,Mar 2024,44870,36106,8765.0,20.0,1700,60,365,10040,23.0,7708,276.0,29.0
218,BAJAJ-AUTO,TTM,48900,39757,9143.0,19.0,1535,164,379,10135,,7371,263.0,
219,AXISBANK,Mar 2013,27183,17516,8313.0,1353.0,5,6551,352,7553,31.0,5179,22.0,16.0
220,AXISBANK,Mar 2014,30641,18690,9644.0,2307.0,8,7405,364,9349,33.0,6218,26.0,15.0
221,AXISBANK,Mar 2015,35479,21254,11127.0,3097.0,9,8365,406,11057,33.0,7358,31.0,15.0
222,AXISBANK,Mar 2016,40988,24155,13367.0,3466.0,8,9371,444,12394,34.0,8224,35.0,14.0
223,AXISBANK,Mar 2017,44542,26449,23808.0,-5715.0,-13,11691,509,5468,33.0,3679,15.0,33.0
224,AXISBANK,Mar 2018,45780,27163,28895.0,-10277.0,-22,10967,568,122,-99.0,276,1.0,0.0
225,AXISBANK,Mar 2019,54986,33278,27155.0,-5447.0,-10,13130,710,6974,33.0,4677,18.0,6.0
226,AXISBANK,Mar 2020,62635,37429,35066.0,-9859.0,-16,15537,773,4904,67.0,1627,6.0,0.0
227,AXISBANK,Mar 2021,63346,34107,31749.0,-2510.0,-4,12264,948,8806,25.0,6588,22.0,0.0
228,AXISBANK,Mar 2022,67377,34245,29962.0,3170.0,5,15221,1008,17383,25.0,13025,42.0,2.0
229,AXISBANK,Mar 2023,85164,42218,29089.0,13857.0,16,16143,13094,16906,43.0,9580,31.0,3.0
230,AXISBANK,Mar 2024,109369,59474,37943.0,11952.0,11,22442,1334,33060,25.0,24861,81.0,1.0
231,AXISBANK,TTM,120659,67033,44566.0,9061.0,8,25243,0,34304,,26386,85.0,
232,BAJAJFINSV,Mar 2013,8055,4124,3931.0,49.0,2,1204,22,2708,18.0,2214,10.0,2.0
233,BAJAJFINSV,Mar 2014,6023,1531,4491.0,75.0,3,1562,31,2902,24.0,2191,10.0,2.0
234,BAJAJFINSV,Mar 2015,11335,5823,5511.0,49.0,8,2230,38,3251,26.0,2409,11.0,2.0
235,BAJAJFINSV,Mar 2016,20533,13795,6739.0,33.0,0,2877,58,3804,27.0,2775,12.0,1.0
236,BAJAJFINSV,Mar 2017,24507,15794,8713.0,36.0,0,3716,73,4925,30.0,3450,14.0,1.0
237,BAJAJFINSV,Mar 2018,32862,22074,10788.0,33.0,1,4531,160,6099,32.0,4176,17.0,1.0
238,BAJAJFINSV,Mar 2019,42605,27569,15037.0,35.0,2,6657,226,8155,34.0,5374,20.0,1.0
239,BAJAJFINSV,Mar 2020,54351,36094,18258.0,34.0,0,9500,457,8302,28.0,5994,21.0,2.0
240,BAJAJFINSV,Mar 2021,60592,40950,19641.0,32.0,-7,9274,498,9862,25.0,7367,28.0,1.0
241,BAJAJFINSV,Mar 2022,68406,46951,21455.0,31.0,8,9629,563,11271,26.0,8314,29.0,1.0
242,BAJAJFINSV,Mar 2023,82072,52204,29868.0,36.0,1,12380,678,16811,27.0,12210,40.0,2.0
243,BAJAJFINSV,Mar 2024,110382,69497,40886.0,37.0,-4,18607,900,21375,27.0,15595,51.0,2.0
244,BAJAJFINSV,TTM,126263,80784,45479.0,36.0,12,21568,1031,22892,,16520,53.0,
245,BAJAJHLDNG,Mar 2013,337,15,322.0,95.0,3,0,2,322,21.0,1856,167.0,15.0
246,BAJAJHLDNG,Mar 2014,423,23,400.0,94.0,5,0,5,400,20.0,1988,179.0,17.0
247,BAJAJHLDNG,Mar 2015,524,40,484.0,92.0,35,0,6,513,19.0,2029,182.0,19.0
248,BAJAJHLDNG,Mar 2016,470,42,429.0,91.0,7,0,5,430,21.0,2265,204.0,16.0
249,BAJAJHLDNG,Mar 2017,842,215,628.0,75.0,8,0,5,630,21.0,2473,222.0,15.0
250,BAJAJHLDNG,Mar 2018,420,65,355.0,85.0,2390,0,5,2739,3.0,2655,239.0,17.0
251,BAJAJHLDNG,Mar 2019,431,85,347.0,80.0,2827,0,4,3170,4.0,3048,274.0,12.0
252,BAJAJHLDNG,Mar 2020,435,134,301.0,69.0,3058,13,33,3314,7.0,3080,269.0,15.0
253,BAJAJHLDNG,Mar 2021,457,106,352.0,77.0,3451,4,34,3766,3.0,3654,328.0,12.0
254,BAJAJHLDNG,Mar 2022,484,117,367.0,76.0,3896,3,34,4226,2.0,4126,364.0,32.0
255,BAJAJHLDNG,Mar 2023,522,142,380.0,73.0,4673,7,34,5012,1.0,4946,436.0,28.0
256,BAJAJHLDNG,Mar 2024,1702,140,1562.0,92.0,5967,2,34,7493,2.0,7365,653.0,20.0
257,BAJAJHLDNG,TTM,1733,178,1554.0,90.0,6055,2,34,7574,,7486,666.0,
258,BAJFINANCE,Mar 2015,5392,2274,1752.0,1367.0,25,26,36,1357,34.0,898,18.0,10.0
259,BAJFINANCE,Mar 2016,7299,2959,2354.0,1986.0,27,35,56,1965,35.0,1279,24.0,10.0
260,BAJFINANCE,Mar 2017,9970,3853,3250.0,2867.0,29,22,71,2817,35.0,1836,33.0,11.0
261,BAJFINANCE,Mar 2018,12746,4696,4115.0,3935.0,31,10,102,3843,35.0,2496,43.0,9.0
262,BAJFINANCE,Mar 2019,18487,6723,5454.0,6310.0,34,13,144,6179,35.0,3995,69.0,9.0
263,BAJFINANCE,Mar 2020,26374,9608,9159.0,7608.0,29,9,295,7322,28.0,5264,87.0,11.0
264,BAJFINANCE,Mar 2021,26673,9519,10839.0,6314.0,24,3,325,5992,26.0,4420,73.0,14.0
265,BAJFINANCE,Mar 2022,31641,9855,11880.0,9906.0,31,-17,385,9504,26.0,7028,116.0,17.0
266,BAJFINANCE,Mar 2023,41411,12701,12693.0,16018.0,39,-5,485,15528,26.0,11508,190.0,16.0
267,BAJFINANCE,Mar 2024,54972,18886,16099.0,19987.0,36,6,683,19310,25.0,14451,233.0,15.0
268,BAJFINANCE,TTM,62279,21918,18943.0,21417.0,34,29,779,20667,,15389,248.0,
269,BANKBARODA,Mar 2013,36442,24486,10950.0,1006.0,3,4511,322,5195,9.0,4829,23.0,19.0
270,BANKBARODA,Mar 2014,40463,27604,12049.0,809.0,2,5555,368,5996,18.0,5036,23.0,19.0
271,BANKBARODA,Mar 2015,44915,30547,13466.0,902.0,2,5449,368,5983,36.0,3950,18.0,18.0
272,BANKBARODA,Mar 2016,45799,32107,25391.0,-11700.0,-26,5992,525,-6233,-19.0,-5033,-22.0,0.0
273,BANKBARODA,Mar 2017,44473,29596,19250.0,-4372.0,-10,7937,540,3024,41.0,1855,8.0,15.0
274,BANKBARODA,Mar 2018,46056,29160,26093.0,-9197.0,-20,7992,901,-2106,-9.0,-1836,-7.0,0.0
275,BANKBARODA,Mar 2019,52906,32506,25815.0,-5414.0,-10,7887,948,1525,29.0,1166,4.0,0.0
276,BANKBARODA,Mar 2020,78895,50040,40583.0,-11728.0,-15,12191,1697,-1234,-99.0,981,2.0,0.0
277,BANKBARODA,Mar 2021,74314,43201,38070.0,-6957.0,-9,14687,1357,6373,77.0,1620,3.0,0.0
278,BANKBARODA,Mar 2022,73385,38815,37518.0,-2948.0,-4,14395,1438,10008,23.0,7933,15.0,19.0
279,BANKBARODA,Mar 2023,94503,49942,38231.0,6329.0,7,16275,2040,20565,29.0,15005,29.0,19.0
280,BANKBARODA,Mar 2024,118379,69899,44379.0,4102.0,3,23399,1702,25799,29.0,18869,36.0,21.0
281,BANKBARODA,TTM,124144,74160,46459.0,3526.0,3,23807,0,27332,,20144,39.0,
282,BHARTIARTL,Mar 2013,76947,53987,22960.0,30.0,1159,4519,14815,4785,53.0,2267,4.0,17.0
283,BHARTIARTL,Mar 2014,85864,59352,26512.0,31.0,2881,5879,15650,7864,62.0,3019,5.0,26.0
284,BHARTIARTL,Mar 2015,96101,62499,33602.0,35.0,1243,4446,19858,10540,52.0,5048,8.0,33.0
285,BHARTIARTL,Mar 2016,96532,62548,33984.0,35.0,4858,8546,17450,12846,46.0,6893,11.0,9.0
286,BHARTIARTL,Mar 2017,95468,60138,35330.0,37.0,1713,9547,19773,7723,45.0,4241,7.0,11.0
287,BHARTIARTL,Mar 2018,82639,52560,30079.0,36.0,1756,9326,19243,3267,33.0,2184,2.0,194.0
288,BHARTIARTL,Mar 2019,80780,55016,25764.0,32.0,4474,10622,21348,-1732,-99.0,1688,1.0,244.0
289,BHARTIARTL,Mar 2020,87539,50930,36610.0,42.0,-37775,13992,27690,-42846,-28.0,-30664,-55.0,-3.0
290,BHARTIARTL,Mar 2021,100616,55337,45279.0,45.0,-4215,15091,29404,-3432,99.0,-12364,-26.0,0.0
291,BHARTIARTL,Mar 2022,116547,59013,57534.0,49.0,4656,16616,33091,12483,33.0,8305,7.0,39.0
292,BHARTIARTL,Mar 2023,139145,67871,71274.0,51.0,1019,19300,36432,16561,26.0,12287,15.0,27.0
293,BHARTIARTL,Mar 2024,149982,71691,78292.0,52.0,-3428,22648,39538,12679,32.0,8558,13.0,62.0
294,BHARTIARTL,TTM,155478,74745,80733.0,52.0,2190,22424,41690,18809,,13816,22.0,
295,BEL,Mar 2013,6273,5604,669.0,11.0,622,7,136,1147,21.0,911,1.0,20.0
296,BEL,Mar 2014,6518,5593,925.0,14.0,438,7,150,1206,21.0,952,1.0,20.0
297,BEL,Mar 2015,7093,5913,1179.0,17.0,507,7,166,1513,21.0,1197,2.0,20.0
298,BEL,Mar 2016,7354,5961,1393.0,19.0,573,10,192,1764,24.0,1337,2.0,31.0
299,BEL,Mar 2017,8656,6864,1792.0,21.0,420,18,212,1983,24.0,1523,2.0,33.0
300,BEL,Mar 2018,10401,8361,2039.0,20.0,196,6,272,1957,28.0,1431,2.0,34.0
301,BEL,Mar 2019,12164,9255,2909.0,24.0,73,16,338,2628,30.0,1887,3.0,44.0
302,BEL,Mar 2020,12968,10209,2759.0,21.0,99,8,372,2478,28.0,1825,3.0,37.0
303,BEL,Mar 2021,14109,10895,3214.0,23.0,125,10,387,2942,30.0,2100,3.0,46.0
304,BEL,Mar 2022,15368,12024,3344.0,22.0,232,9,401,3166,26.0,2400,3.0,46.0
305,BEL,Mar 2023,17734,13645,4090.0,23.0,281,19,429,3923,25.0,2986,4.0,44.0
306,BEL,Mar 2024,20268,15217,5051.0,25.0,670,12,443,5266,25.0,3985,5.0,40.0
307,BEL,TTM,21575,15867,5708.0,26.0,754,7,445,6010,,4541,6.0,
308,BHEL,Mar 2013,48903,39420,9483.0,19.0,1132,128,957,9531,30.0,6693,18.0,20.0
309,BHEL,Mar 2014,39561,34982,4579.0,12.0,1617,133,985,5078,31.0,3502,10.0,20.0
310,BHEL,Mar 2015,31323,29183,2141.0,7.0,1221,92,1082,2187,34.0,1450,4.0,20.0
311,BHEL,Mar 2016,25505,26862,-1357.0,-5.0,1492,360,937,-1161,-39.0,-706,-2.0,-14.0
312,BHEL,Mar 2017,28465,27370,1095.0,4.0,753,413,850,586,22.0,455,1.0,85.0
313,BHEL,Mar 2018,28827,27174,1653.0,6.0,679,330,787,1215,64.0,438,1.0,151.0
314,BHEL,Mar 2019,30441,28409,2032.0,7.0,662,378,476,1840,46.0,1002,3.0,69.0
315,BHEL,Mar 2020,21463,21596,-133.0,-1.0,590,613,503,-659,99.0,-1468,-4.0,0.0
316,BHEL,Mar 2021,17309,20357,-3049.0,-18.0,393,467,473,-3596,-25.0,-2700,-8.0,0.0
317,BHEL,Mar 2022,21211,20383,828.0,4.0,405,448,314,470,5.0,445,1.0,31.0
318,BHEL,Mar 2023,23365,22321,1044.0,4.0,544,612,260,716,9.0,654,2.0,21.0
319,BHEL,Mar 2024,23893,23182,711.0,3.0,608,828,249,243,-16.0,282,1.0,31.0
320,BHEL,TTM,25833,24783,1050.0,4.0,527,746,248,583,,445,1.0,
321,BOSCHLTD,Dec 2012,8659,7310,1350.0,16.0,369,6,367,1346,29.0,958,305.0,20.0
322,BOSCHLTD,Dec 2013,8757,7468,1289.0,15.0,353,0,384,1257,30.0,885,282.0,20.0
323,BOSCHLTD,Mar 2015,12086,10104,1981.0,16.0,537,14,548,1956,32.0,1338,426.0,20.0
324,BOSCHLTD,Mar 2016,9701,7823,1878.0,19.0,623,13,386,2102,27.0,1531,488.0,17.0
325,BOSCHLTD,Mar 2017,10435,8473,1963.0,19.0,912,27,456,2391,27.0,1741,570.0,29.0
326,BOSCHLTD,Mar 2018,11690,9597,2093.0,18.0,418,3,467,2041,33.0,1371,449.0,22.0
327,BOSCHLTD,Mar 2019,12085,9931,2154.0,18.0,600,13,402,2339,32.0,1598,542.0,19.0
328,BOSCHLTD,Mar 2020,9842,8358,1483.0,15.0,-105,10,383,985,34.0,650,220.0,48.0
329,BOSCHLTD,Mar 2021,9718,8555,1163.0,12.0,-241,14,341,567,15.0,482,164.0,70.0
330,BOSCHLTD,Mar 2022,11782,10319,1462.0,12.0,391,29,324,1500,19.0,1217,413.0,51.0
331,BOSCHLTD,Mar 2023,14929,13120,1810.0,13.0,471,12,386,1882,24.0,1424,483.0,99.0
